Range Min,Range Max,Lower Quartile,Median,Upper Quartile
-0.029,-0.0261,3509.5,3855.5,4721
-0.0261,-0.0232,3609.5,3849.5,4131
-0.0232,-0.0203,3445,3749,4089.5
-0.0203,-0.0174,3328.5,3701.5,4619.5
-0.0174,-0.0145,3338.5,3628,3963
-0.0145,-0.0116,3316,3525.5,4125
-0.0116,-0.0087,3145,3582,4250
-0.0087,-0.0058,3151.5,3469,4147.5
-0.0058,-0.0029,3249.5,3483.5,3794
-0.0029,-3.46945e-18,3411,3729.5,4396.5
0,0.0029,3178.5,3363,3883
0.0029,0.0058,3209,3380,3930
0.0058,0.0087,3133,3536.5,4082.5
0.0087,0.0116,3152,3384.5,3899
0.0116,0.0145,3228,3507.5,3954.5
0.0145,0.0174,3250,3476,4026
0.0174,0.0203,3308.5,3520,3925
0.0203,0.0232,3552.5,3920,4328
0.0232,0.0261,3613.5,3960.5,4565.5
0.0261,0.029,3768,4097,4812.5
